Date,Open,High,Low,Close,Adj Close,Volume
2021-04-22,66.040001,66.419998,65.699997,66.160004,64.953262,1162300
2021-04-23,66.180000,67.570000,66.150002,67.480003,66.249184,1464600
2021-04-26,67.639999,68.360001,67.639999,67.919998,66.681160,1070800
2021-04-27,68.040001,68.300003,67.709999,68.150002,66.906967,964800
2021-04-28,68.339996,69.059998,68.209999,68.769997,67.515648,2441800
2021-04-29,69.309998,69.629997,69.029999,69.370003,68.104713,1282400
2021-04-30,69.169998,69.250000,68.669998,68.750000,67.496025,1625400
2021-05-03,69.080002,69.269997,68.559998,68.589996,67.338936,1606800
2021-05-04,68.370003,68.610001,67.660004,68.489998,67.240761,1971800
2021-05-05,68.660004,69.449997,68.540001,69.440002,68.173439,1384400
2021-05-06,69.779999,70.660004,69.620003,70.639999,69.351547,1851300
2021-05-07,70.139999,71.029999,69.930000,70.940002,69.646080,1280000
2021-05-10,71.430000,71.669998,70.930000,70.930000,69.636261,1325300
2021-05-11,70.750000,71.190002,70.190002,70.720001,69.430092,1847100
2021-05-12,70.739998,71.220001,70.650002,70.699997,69.410446,2071000
2021-05-13,70.459999,71.839996,70.459999,71.570000,70.264580,2188700
2021-05-14,72.089996,72.650002,72.070000,72.410004,71.089264,2318600
2021-05-17,72.459999,73.370003,72.370003,73.260002,71.923759,1234700
2021-05-18,73.529999,73.739998,73.050003,73.139999,71.805946,1316700
2021-05-19,72.660004,72.879997,71.930000,72.260002,70.942001,1767000
2021-05-20,72.470001,73.010002,72.269997,72.889999,71.560501,1473400
2021-05-21,73.120003,73.419998,72.680000,73.029999,71.697952,1247500
2021-05-24,73.019997,73.290001,72.650002,73.129997,71.796127,731000
2021-05-25,73.419998,73.650002,73.040001,73.070000,71.737221,1720000
2021-05-26,72.959999,73.440002,72.889999,73.330002,71.992485,1703500
2021-05-27,73.790001,73.849998,71.790001,71.900002,70.588562,2742500
2021-05-28,72.349998,72.589996,71.839996,72.099998,70.784912,2866700
2021-06-01,72.699997,73.099998,72.489998,72.690002,71.364159,1891500
2021-06-02,72.830002,73.209999,72.489998,72.769997,71.442688,1236500
2021-06-03,72.349998,72.900002,72.349998,72.580002,71.256157,1326300
2021-06-04,72.980003,73.040001,72.430000,72.830002,71.501602,852700
